text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Now the real work begins, folks. Follow along at @POTUS as we build back better. https://t.co/fHViqSqwp2",FALSE,782297,NA,2021-01-20T17:55:22Z,FALSE,NA,1351951465674276869,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JoeBiden,58607,FALSE,FALSE,NA,NA
"I love you, Jilly, and I couldn’t be more grateful to have you with me on the journey ahead. https://t.co/V4GUXAKSKg",FALSE,865469,NA,2021-01-20T15:46:00Z,FALSE,NA,1351918910199631872,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,59146,FALSE,FALSE,NA,NA
"Today, we begin anew. Tune in for #Inauguration2021. https://t.co/HxfU8q5riA",FALSE,312554,NA,2021-01-20T14:58:21Z,FALSE,NA,1351906918667677696,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,39511,FALSE,FALSE,NA,NA
It’s a new day in America.,FALSE,3843355,NA,2021-01-20T14:20:00Z,FALSE,NA,1351897267666608129,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,484434,FALSE,FALSE,NA,NA
"Tonight, in Washington, D.C. and across the nation, we came together to honor the over 400,000 Americans we’ve lost… https://t.co/q3gB1RJjvv",FALSE,561675,NA,2021-01-20T03:20:00Z,TRUE,NA,1351731172989050882,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,50353,FALSE,FALSE,NA,NA
We don’t have a second to waste when it comes to tackling the crises we face as a nation. That’s why after being sw… https://t.co/eza8IKs9Pf,FALSE,81342,NA,2021-01-20T02:00:00Z,TRUE,NA,1351711040933830659,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,7516,FALSE,FALSE,NA,NA
"Join us for a national moment of unity and remembrance in honor of the 400,000 Americans we’ve lost due to COVID-19. https://t.co/0BW7AQLxUx",FALSE,75935,NA,2021-01-19T22:09:53Z,FALSE,NA,1351653131248041984,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,9498,FALSE,FALSE,NA,NA
"Next stop: Washington, D.C. https://t.co/oW0C4LQVBf",FALSE,601336,NA,2021-01-19T20:39:00Z,FALSE,NA,1351630258114502656,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,47887,FALSE,FALSE,NA,NA
I’m in Delaware for one final event before I head to Washington for tomorrow’s inauguration. Tune in. https://t.co/YnEMiqhhDE,FALSE,95751,NA,2021-01-19T18:37:39Z,FALSE,NA,1351599720012021761,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,8500,FALSE,FALSE,NA,NA
"There’s no more fitting way to honor the legacy of Dr. Martin Luther King, Jr. than service. Thank you to… https://t.co/3L1zHkmEzR",FALSE,56671,NA,2021-01-19T03:14:00Z,TRUE,NA,1351367275094310912,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,4859,FALSE,FALSE,NA,NA
"As the National Day of Service comes to a close, we’re celebrating the legacy of Dr. Martin Luther King, Jr. with a… https://t.co/OJhFw2PiUE",FALSE,32726,NA,2021-01-19T00:59:57Z,TRUE,NA,1351333542547001344,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,4050,FALSE,FALSE,NA,NA
"Dr. Martin Luther King, Jr.’s words remind us that darkness cannot drive out darkness and hate cannot drive out hat… https://t.co/m3iRNj9Bzt",FALSE,267624,NA,2021-01-18T20:30:00Z,TRUE,NA,1351265605840633858,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,30014,FALSE,FALSE,NA,NA
Our Administration will lead with science and scientists — with a CDC and NIH that are free from political influenc… https://t.co/8I88LBVALq,FALSE,175411,NA,2021-01-18T18:02:00Z,TRUE,NA,1351228360123318272,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,18775,FALSE,FALSE,NA,NA
I know @harrisonjaime and the new DNC team are ready to strengthen our party’s infrastructure and elect Democrats a… https://t.co/wrOvbcyZSk,FALSE,25163,NA,2021-01-18T01:41:00Z,TRUE,NA,1350981483062706177,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,3022,FALSE,FALSE,NA,NA
"Service is a fitting way to start to heal, unite, and rebuild this country we love.

I hope you’ll join us in honor… https://t.co/vL0SFZQdOF",FALSE,56236,NA,2021-01-17T22:01:00Z,TRUE,NA,1350926118409289730,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,7642,FALSE,FALSE,NA,NA
I know masks have become a partisan issue — but it’s a patriotic act. Experts say wearing a mask from now until Apr… https://t.co/XHexAioS5U,FALSE,656977,NA,2021-01-17T18:50:00Z,TRUE,NA,1350878051710750725,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,68960,FALSE,FALSE,NA,NA
"Though pushed, tested, and threatened throughout the 2020 election, our democracy proved to be resilient, true, and… https://t.co/2JfXVQLQN3",FALSE,56128,NA,2021-01-17T14:51:00Z,TRUE,NA,1350817905202630658,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,6246,FALSE,FALSE,NA,NA
"Across the country, approximately 14 million Americans have fallen behind on rent and many may soon be at risk of e… https://t.co/1oUOomur7s",FALSE,50409,NA,2021-01-17T02:42:00Z,TRUE,NA,1350634446475694080,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,6510,FALSE,FALSE,NA,NA
"The first @BidenInaugural event is here. Tune in as we celebrate America, reflect and honor our history, and highli… https://t.co/WpJo2Kxdgr",FALSE,35155,NA,2021-01-17T00:00:25Z,TRUE,NA,1350593782832500737,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,5488,FALSE,FALSE,NA,NA
"To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my admi… https://t.co/nhzPNXNruk",FALSE,51818,NA,2021-01-16T21:55:00Z,TRUE,NA,1350562220367884289,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,6110,FALSE,FALSE,NA,NA
Science will be at the forefront of my administration — and this group will ensure everything we do is grounded in… https://t.co/n0Sos0SOdx,FALSE,75445,NA,2021-01-16T18:47:53Z,TRUE,NA,1350515133034819584,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,9144,FALSE,FALSE,NA,NA
Getting America vaccinated will be one of the most challenging operational efforts ever undertaken. But you have my… https://t.co/mNdZQOlSYc,FALSE,63368,NA,2021-01-16T16:30:00Z,TRUE,NA,1350480432341520384,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,6666,FALSE,FALSE,NA,NA
"We not only have an economic imperative to act now, we have a moral obligation. 
 
In this pandemic, in America, we… https://t.co/i8Pmbmy1iJ",FALSE,160483,NA,2021-01-16T01:40:00Z,TRUE,NA,1350256455748882434,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,16051,FALSE,FALSE,NA,NA
Science will always be at the forefront of my administration — and these world-renowned scientists will ensure ever… https://t.co/sAZVOszzqD,FALSE,66888,NA,2021-01-15T22:36:00Z,TRUE,NA,1350210150481555457,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8724,FALSE,FALSE,NA,NA
"My administration will move Heaven and Earth to:

- Allow more people to get vaccinated
- Create more places for th… https://t.co/yLoRNU2MKF",FALSE,202688,NA,2021-01-15T19:02:00Z,TRUE,NA,1350156296012656647,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,19419,FALSE,FALSE,NA,NA
"To Pilar, and the countless other small business owners across the country, know that help is on the way. https://t.co/4mKPjN6rgx",FALSE,39926,NA,2021-01-15T13:50:00Z,FALSE,NA,1350077778310270978,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,4678,FALSE,FALSE,NA,NA
"Direct cash payments.
Extended unemployment.
Rent relief. 
Food assistance. 
Aid to small businesses.
Keeping essen… https://t.co/G3OiZzRd0J",FALSE,407788,NA,2021-01-15T01:42:00Z,TRUE,NA,1349894571094810626,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,45345,FALSE,FALSE,NA,NA
We have no time to waste when it comes to getting this virus under control and building our economy back better. Tu… https://t.co/jlfTxmv8Tj,FALSE,63920,NA,2021-01-15T00:16:16Z,TRUE,NA,1349872996920430595,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,8553,FALSE,FALSE,NA,NA
"We need to tackle the public health and economic crises we’re facing head-on. That’s why today, I’m announcing my A… https://t.co/q9mu0UEw3z",FALSE,39161,NA,2021-01-14T22:44:00Z,TRUE,NA,1349849776012087296,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,5036,FALSE,FALSE,NA,NA
"We’re in the teeth of this crisis, and we need to take immediate action to get the virus under control. That’s why… https://t.co/ovOtIYGCjV",FALSE,79007,NA,2021-01-14T03:48:00Z,TRUE,NA,1349563892087869442,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8688,FALSE,FALSE,NA,NA
"Today, in a bipartisan vote, the House voted to impeach and hold President Trump accountable. Now, the process cont… https://t.co/BReZ8t0gO0",FALSE,279355,NA,2021-01-14T03:19:00Z,TRUE,NA,1349556594237792256,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,23426,FALSE,FALSE,NA,NA
Ambassador Samantha Power is a world-renowned voice of conscience and moral clarity—challenging and rallying the in… https://t.co/OyZ8P13yrB,FALSE,39042,NA,2021-01-13T15:20:00Z,TRUE,NA,1349375651883724804,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,4371,FALSE,FALSE,NA,NA
My number one priority is getting people vaccinated as quickly as we can to get our country back on track. https://t.co/JLY1DntIlR,FALSE,96882,NA,2021-01-12T20:27:25Z,FALSE,NA,1349090628790067200,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,8203,FALSE,FALSE,NA,NA
"It’s long past time to raise the minimum wage, so hardworking people earn at least $15 an hour. 
 
I hope that Demo… https://t.co/GjNx8dwly7",FALSE,321705,NA,2021-01-12T19:00:01Z,TRUE,NA,1349068634413436929,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,27785,FALSE,FALSE,NA,NA
"I urge every American to:

- Wear a mask
- Stay socially distanced
- Avoid large indoor gatherings

We can save cou… https://t.co/2zzQXfOqfY",FALSE,439881,NA,2021-01-12T14:05:00Z,TRUE,NA,1348994390690246657,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,41697,FALSE,FALSE,NA,NA
"Getting America vaccinated will be one of the greatest operational challenges we’ve ever faced, but my administrati… https://t.co/8UMEgFSNbc",FALSE,184519,NA,2021-01-12T01:15:00Z,TRUE,NA,1348800612742402048,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,14953,FALSE,FALSE,NA,NA
"Folks, I just received the second dose of my COVID-19 vaccine — and just like the first dose, it was safe, quick, a… https://t.co/T6MiwE0M50",FALSE,188723,NA,2021-01-11T22:45:41Z,TRUE,NA,1348763039160532992,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,13892,FALSE,FALSE,NA,NA
The work of the next four years must be the restoration of democracy and the recovery of respect for the rule of la… https://t.co/OEhpbkmiuy,FALSE,305904,NA,2021-01-11T20:45:00Z,TRUE,NA,1348732665005023232,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,27898,FALSE,FALSE,NA,NA
I’m asking Ambassador Bill Burns to lead the Central Intelligence Agency because he’s dealt with many of the thorni… https://t.co/gfz5zp23Bv,FALSE,48622,NA,2021-01-11T14:21:16Z,TRUE,NA,1348636095458717696,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,5529,FALSE,FALSE,NA,NA
"$600 is simply not enough when you have to choose between paying rent or putting food on the table.
 
We need $2,000 stimulus checks.",FALSE,1035613,NA,2021-01-11T00:45:00Z,FALSE,NA,1348430675238678528,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,118021,FALSE,FALSE,NA,NA
"I am proud that we have finished naming the members of our Cabinet.
 
It’s a Cabinet that looks like America and ta… https://t.co/ceC4USK4Tb",FALSE,109714,NA,2021-01-10T19:30:00Z,TRUE,NA,1348351402624524288,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,10916,FALSE,FALSE,NA,NA
"In 10 days, we move forward and rebuild — together.",FALSE,1070179,NA,2021-01-10T16:05:00Z,FALSE,NA,1348299813163474944,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,74278,FALSE,FALSE,NA,NA
The bottom line is we need to provide immediate relief for working families and businesses. Now. https://t.co/syaHTaX3O4,FALSE,69341,NA,2021-01-10T00:30:00Z,FALSE,NA,1348064513170567168,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,6960,FALSE,FALSE,NA,NA
