Word,Vowel,Timeinterval,F1,F2,F3,F4,Speaker,Language
bah,a,10,766.5,1273.8,2103.6,3629.9,12,L1English
bah,a,20,809.8,1273.2,2031.6,3814.3,12,L1English
bah,a,30,838.1,1292,2021.3,3790.1,12,L1English
bah,a,40,857.9,1315.4,1871.4,3783.6,12,L1English
bah,a,50,860.2,1295,2295.2,3854.4,12,L1English
bah,a,60,846.2,1288.8,2654.2,3882.9,12,L1English
bah,a,70,777.4,1252.3,2998.3,4030,12,L1English
bah,a,80,536.9,1120.2,3015.9,4402.5,12,L1English
bah,a,90,1438.3,2709.8,3799.6,4628.3,12,L1English
bah,a,10,681.3,1161.9,2431.1,3418.3,13,L1English
bah,a,20,729.1,1178.8,2461.6,3477.2,13,L1English
bah,a,30,750,1182,2505.7,3551.9,13,L1English
bah,a,40,756.9,1169.4,2530.7,3635.5,13,L1English
bah,a,50,733.4,1171,2506.6,3675.7,13,L1English
bah,a,60,734,1188.8,2562.7,3712.1,13,L1English
bah,a,70,749.2,1219.4,2457.9,3690.8,13,L1English
bah,a,80,751.8,1286.5,2396.1,3688.9,13,L1English
bah,a,90,717,1405.7,2492,3831.6,13,L1English
bah,a,10,667.3,1139.7,2672.2,3765.2,15,L1English
bah,a,20,701.5,1145.3,2687.7,3719,15,L1English
bah,a,30,711.3,1149.6,2709.1,3725.4,15,L1English
bah,a,40,717.2,1156.4,2780.9,3746.5,15,L1English
bah,a,50,699.4,1160.5,2786.7,3700.2,15,L1English
bah,a,60,700,1144.3,2806.6,3750.2,15,L1English
bah,a,70,691.4,1142.3,2804.1,3750.2,15,L1English
bah,a,80,679.5,1138.7,2832.7,3770.3,15,L1English
bah,a,90,587.9,1133.5,2876.4,3689.1,15,L1English
bah,a,10,623.9,1124.8,2772,3135.3,19,L1English
bah,a,20,657.1,1115.2,2615.4,2964.1,19,L1English
bah,a,30,661.2,1120.1,2585.5,3009.5,19,L1English
bah,a,40,659,1143.6,2634.6,2989.1,19,L1English
bah,a,50,646.7,1186.7,2889,3013,19,L1English
bah,a,60,634.9,1202.7,2749,2886,19,L1English
bah,a,70,633.2,1229.3,2740.4,2940.8,19,L1English
bah,a,80,610,1295.8,2801,2997.2,19,L1English
bah,a,90,583.8,1369.7,2793.4,3730,19,L1English
bah,a,10,633.6,963.1,2536.9,3381.8,20,L1English
bah,a,20,644.5,988.7,2698.9,3548.4,20,L1English
bah,a,30,649.9,977.9,2674.5,3530.1,20,L1English
bah,a,40,668.1,1004.4,2662.4,3559.6,20,L1English
bah,a,50,671.8,1025,2640.9,3550.4,20,L1English
bah,a,60,678.3,1044.6,2624,3630.2,20,L1English
bah,a,70,679.6,1090,2627.3,3598.3,20,L1English
bah,a,80,664.6,1170.1,2577.3,3537.6,20,L1English
bah,a,90,645.3,1305,2469.3,3510.5,20,L1English
bay,ei,10,605.1,2239.7,2705.1,4030.8,12,L1English
bay,ei,20,637.9,2245.2,2656.6,4118.7,12,L1English
bay,ei,30,626.5,2273.3,2715.4,3496.7,12,L1English
bay,ei,40,575.3,2325.2,2742.7,3138.3,12,L1English
bay,ei,50,502.8,2339.6,2649.4,3755.8,12,L1English
bay,ei,60,477.6,2441.4,2705.9,3835.2,12,L1English
bay,ei,70,421,2542.6,2589.4,3851.3,12,L1English
bay,ei,80,415.6,2661.8,3094.8,4068.2,12,L1English
