ID,Participant.ID,Browser,Device,Sex,Education,ENG.lextale,ENG.start.age,ENG.current.lever,ENG.country,Mask.before,Mask.after,Mask.others,Mask.perception,Block,Condition,Trail,RT,Response,Target,Duration,Video,L1,Spelling,Accuracy,Syllable,Competitor,Intensity,COG,RIntensity,Visual,Vowel,F1,F2,LogFreq,Visual.nm
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,65,741,S,S,1.578645833,WM_SS_notp_onset_SILK,German,silk,TRUE,onset,0,35.21656066,5744,2.683295632,0,ɪ,443.1238267321132,1493.630894713206,4,FALSE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,66,1648,X,F,1.514645833,WM_FF_pair_onset_FOAL,German,foal,FALSE,onset,1,30.21439279,3433,-2.318872238,0,əʊ,455.011716923466,893.2242480558341,3.15,TRUE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,68,1014,F,TH,1.514645833,WM_TH_pair_coda_WREATH,German,wreath,FALSE,coda,1,25.33262721,4164,-7.200637818,0,i:,349.93134090819757,2118.514378189369,3.28,TRUE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,70,820,S,S,1.578645833,WM_SS_notp_coda_PASS,German,pass,TRUE,coda,0,32.14711433,5510,-0.386150698,0,a:,638.8399182822243,1192.5061437476681,5.14,FALSE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,72,778,TH,TH,1.514645833,WM_TH_notp_onset_THANK,German,thank,TRUE,onset,0,28.3985459,2662,-4.134719128,0,æ,472.57483587141945,1527.4878530318344,5.87,TRUE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,73,940,SH,SH,1.514645833,WM_SH_notp_coda_POSH,German,posh,TRUE,coda,0,30.75677682,2612,-1.776488208,0,ɒ,543.7941400722314,905.4877459052908,4.29,FALSE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,74,785,S,S,1.514645833,WM_SS_pair_onset_SORE,German,sore,TRUE,onset,1,39.4498273,6203,6.916562272,0,ɔ:,443.521970458054,907.5137064075666,4.06,FALSE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,64,687,TH,F,1.514645833,WM_FF_pair_coda_OAF,German,oaf,FALSE,coda,1,27.87135616,2193,-4.661908868,0,əʊ,410.5264576013781,1064.3752243228528,2.7,TRUE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,63,910,TH,TH,1.706645833,WM_TH_notp_onset_THORN,German,thorn,TRUE,onset,0,24.41493027,1442,-8.118334758,0,ɔ:,429.6098323484334,852.7103830514553,3.33,TRUE
CW08,1935233,Firefox,computer,1,4,0.85,10,advanced,Yes,1,3,3,5,3,wm,53,735,S,S,1.450645833,WM_SS_pair_coda_PLUS,German,plus,TRUE,coda,1,33.72174147,5305,1.188476442,0,ʌ,637.4203881444095,1218.4733430885767,4.78,FALSE
